income,credit_score,loan_amount,tenure_months,dti,risk
54570.75619631647,580.5079610840553,7801.85461311014,58,0.46130657346510817,0
34400.23840639257,733.4724195527709,4934.62006963052,36,0.4974561990757122,0
61256.767937096854,676.5180796150883,17660.93034883508,38,0.5580455626155986,0
64108.47074586821,644.0054528922558,16226.746262570656,27,0.4959506831900041,0
20734.472170192454,664.9509492943765,1000.0,50,0.2174288888352133,0
30467.30739706523,742.2062472224602,4584.523087337124,53,0.478882577386624,0
51917.60604750928,723.8744310395044,17041.505212813638,20,0.39805301537687054,0
45256.361114846266,672.32459251967,14422.289425502888,44,0.55197585691826,0
49747.98263743567,611.6535521558433,11792.546255970105,34,0.3538686385630571,0
37204.3410863963,615.8873241853016,19845.42453928147,44,0.5216771751525163,0
63190.96962294243,725.1818095954798,3455.7362584880466,28,0.3649825818303194,0
61666.879031434226,603.3354544607364,10240.066404097899,39,0.37096249581572627,0
50990.46046341824,672.9107307053415,19144.297214929957,40,0.4499039038567536,0
66908.61810452049,840.8643276427941,9805.639788324686,28,0.30281380157717325,0
57012.64013378068,707.5736503022058,17500.373828354626,17,0.43289988747795843,0
37110.61305675143,724.5349522397003,5830.162664920748,11,0.12222222494994822,0
55531.26176123748,616.3378836880203,8409.20436813125,58,0.4225327194602782,0
35616.760987565016,606.3619006296533,1000.0,40,0.15922923475877915,0
63176.75451960909,727.7493222222831,1000.0,30,0.4331501270471069,0
49251.11133520621,663.0588806663085,11192.42280928722,28,0.0,0
47227.06454682109,750.4172888938205,18600.19223035613,28,0.0778066560307028,0
39786.05683394088,688.5879942574711,14081.61050619468,30,0.3579297976467442,0
68338.12008011046,850.0,24282.279110768566,30,0.3605615072477644,0
47682.05776896797,651.6608110811991,11857.60452169849,55,0.3120977677386973,0
43575.08266755339,703.3478917513658,1000.0,30,0.4583619602991645,0
44717.99674267656,632.3512602447519,17753.55453236698,44,0.4898784293663676,0
57984.63778330023,747.9248006391458,6371.775019685676,32,0.7296360333674476,0
55481.660965461175,712.4307436324572,16007.045193991453,48,0.3565943721437948,0
56190.98917393983,628.3286087951403,1000.0,6,0.5051730011273223,0
56462.315045118245,666.9629063531943,12799.60767103626,47,0.22570889895092192,0
82124.71401305692,768.3100864100315,20621.53504127425,17,0.26796437099498654,0
43903.77475423076,761.1025463223473,19643.8398423179,29,0.22686567985336065,0
42316.35906392694,601.1362616440613,12994.064798279705,40,0.3334828630394456,0
37793.40907628184,658.0418213760677,14589.346786934113,36,0.38348406061757345,0
59239.69133863243,795.283805377818,11022.509492537863,8,0.5062837167396155,0
66934.58439081337,675.9693319583166,12613.608460309559,35,0.40184757068030164,0
48290.788135176874,697.0053508729555,20014.19100620247,13,0.5505116436292955,0
37397.65284556208,747.6159149996047,9000.895325152778,19,0.5529730756640039,0
37632.78176463141,606.0702976220947,9784.813974293102,31,0.35605058178162224,0
59758.89181737052,629.6181501542361,2363.60736680188,40,0.33436462519286797,0
61148.81256805164,666.5780550070016,20173.581247852908,34,0.12127847341738385,0
58147.31402457792,758.277417191315,12441.106329002097,26,0.2685773963063006,0
40017.354390669585,747.1859208951379,4896.463871441236,10,0.22862624165285425,0
53482.4198460008,729.1859820312259,21578.794248309925,8,0.2351673501046732,0
51750.28713711092,677.6504030797538,14191.648289234192,30,0.28643265106864113,0
53280.328950935196,753.7741842607816,8625.617100193682,58,0.42892365680587713,0
63071.431669222846,676.8412861497014,21704.902320428104,50,0.39349980470684853,0
53353.933231620234,720.6780807423445,11832.446404105036,28,0.49825640425537154,0
60183.70344607842,740.7223385236763,2009.0229491949467,17,0.4077102056049548,0
51013.68604233337,787.8092040506388,22232.03857517917,24,0.26128641462970903,0
54336.79098034976,682.6205249250904,7843.81883591194,32,0.46354967496161886,0
59469.32338757811,664.243386743215,38725.60460818096,39,0.14437667927374173,0
28142.662702165002,763.7045217673019,10998.616792102894,35,0.49657370042044113,0
45204.93175464048,768.3111547209508,1000.0,30,0.23513709332432722,0
42944.41018560807,653.3975304565811,28599.29842255344,40,0.005634758485065838,0
40416.83227634987,619.6979760881441,14113.856363695975,58,0.43167891132744823,0
45872.86623159974,759.1420679699668,16611.889694097827,28,0.30364639578048025,0
72424.11966851594,587.4963575842776,17618.980274942445,8,0.5262059607816405,0
37012.533264601356,584.4319142875008,3679.6785101934674,51,0.49441490134787114,0
64524.175318872214,669.9022931114774,1000.0,50,0.20207090588707813,0
24756.953425762928,686.1463829437492,30194.994222010064,37,0.5784568151392001,0
44976.724550213374,616.402870023368,2058.138942479809,7,0.06734594400026028,0
52441.295976575086,693.3118603026307,27669.270734409416,54,0.4197302270556228,0
58793.33497038917,695.9882053181888,18776.96589117717,15,0.563689058507117,0
60668.39869689282,651.1767263567432,15966.974867917956,58,0.1976541020807991,0
61900.20852799888,802.0078507500714,10820.1647964488,15,0.6667944721035648,0
44769.123916273435,705.7856726004383,33036.880666676196,6,0.3743166260295238,0
43064.7231100315,747.7093421913071,9024.043243599943,24,0.40590961684688043,0
62869.638218857304,592.6272206798407,9247.534066045393,32,0.5261754677780769,0
47130.435126775774,592.1094912529672,19950.754214400742,53,0.41271783407800633,0
30864.70514993117,707.6037566389356,9183.77393076254,8,0.15126796417798463,0
33000.691789947785,791.2914613652164,6475.884441943414,19,0.0,0
36208.21570997583,619.4038532616571,14109.38466240954,41,0.2036044403772915,0
57457.41116080646,688.602598790077,20075.884289722067,33,0.2169013463168825,0
52136.38604105848,605.894225318221,29611.84729337771,52,0.2077400584774077,0
60357.280311016526,636.8826440471208,31243.539537286448,31,0.2551152106127644,0
43591.21030495199,691.5866791284926,1000.0,39,0.0,0
52378.095366150716,650.4433271982343,22918.10679744807,18,0.17124022104317962,0
59383.85590951005,601.6685658098195,6706.354023030452,27,0.43194563877135267,0
45359.80190419642,600.3249385631249,7105.248511498587,31,0.506319745048599,0
56851.62856336117,566.8395140321456,10263.802365088404,38,0.24069855280561558,0
40071.11088400023,708.5950281928754,9754.355391866857,51,0.45360615067121735,0
44554.19230152392,715.8548615258683,6023.087699595859,23,0.0,0
44273.931590025066,715.5532061928432,1000.0,43,0.39051774196796524,0
32062.405316164404,625.4494521280855,26158.375183453383,17,0.5277044006649124,0
57304.58721178373,740.357077434451,21774.87943475784,27,0.42734928845375386,0
42958.96489695914,722.4067200506515,14457.517370713016,10,0.3460226560611648,0
50187.41178091531,680.4376643986999,6849.381796074832,20,0.0,0
57211.19988358863,670.590275404445,24471.744058784097,48,0.6335666225914164,0
56697.96764044916,641.0530718578418,14082.738090409675,33,0.6411433899010934,0
59980.77663459179,691.5297100357235,9989.856400617442,54,0.45513494681647826,0
48522.717732358644,777.0348683190799,1437.8512747384084,18,0.5497815857993027,0
43650.52531933769,748.2713969369909,18897.523950343253,29,0.3503110827680623,0
48804.226836404014,664.6273745822554,11916.829600415253,14,0.46419994831795675,0
24689.98349062955,712.3172877064616,16681.447628177717,21,0.47588111854897674,0
28293.31291365369,613.9141970286945,15941.390830104452,8,0.34048645201916583,0
30159.505814683966,723.8040306443121,19678.121424314944,17,0.22598005623169337,0
35041.29758597777,630.1485714400783,16333.018186649737,6,0.4812572014700217,0
55996.61340085155,721.4153336766605,12155.668354583438,42,0.6318047446542243,0
36417.81416959909,850.0,19032.956326846306,58,0.5362910877118623,0
44327.56168940915,645.7992540603723,22203.304101176353,8,0.40112844955858545,0
69488.42446679098,850.0,26967.85428067193,25,0.3895727190381437,0
44656.04043407861,709.4381292669786,5632.819636096425,53,0.3981949447626117,0
61062.7335270063,635.0224620042829,23494.85756763154,8,0.007251224642682408,0
35995.734799851845,632.2726299959351,1894.6594333199591,44,0.33403751530360604,0
46918.43663198555,821.8973364709034,22714.537110100177,37,0.3176112840898078,0
35749.66917634128,709.579321082186,9874.728662076142,50,0.16890060196106538,0
44914.50386149156,646.0308286300497,21332.080670154253,31,0.5081450954425979,0
62604.62206186094,667.7923633374257,26541.089284610483,10,0.39227950023193286,0
24090.19365211477,705.8465466625372,16434.489280062877,37,0.0,0
56516.35465318786,679.476759487218,14621.249508589703,58,0.385227677911766,0
53566.03403498417,700.7539487764502,14212.808760964115,35,0.5414641402688664,0
41087.75066454808,786.4166537992566,11235.33084269642,8,0.26063163134141204,0
28309.13218417318,612.3217601262394,23995.289347867318,11,0.196284995109733,0
